AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2017,3788,Soacha,114870,96.3,96.11,65.17,95.6,86.18,53.76,104.91,83.31,108.08,112.89,92.13,36.935,83.87,1.55,2.63,1.36,1.71,1.22,96.77,97.23,97.25,96.29,96.34,1.67,0.14,1.39,2,2.45,4.18,1.33,3.18,6.37,2.66
2016,3788,Soacha,113969,91.37,91.23,59.12,90.35,80.52,51.7,99.88,77.93,102.96,107.79,87.55,28.437,96.83,4.91,4.68,4.1,6.46,3.32,95.09,95.32,95.9,93.54,96.68,,,,,,4.09,1.33,3.03,6.32,2.62
2011,3788,Soacha,109872,87.37,87.2,70.64,85.84,75.47,45.13,98.62,88.34,101.35,106.24,82.04,24.72,4.62,3.95,4.16,3.82,3.61,5.28,96.41,96.21,96.41,96.74,95.53,0,0,0,0,0,1.69,0.65,1.21,2.71,0.87
2014,3788,Soacha,112258,86.12,86.03,59.94,82.64,78.89,46.54,92.68,77.62,94.8,102.22,76.03,25.17,95,3.83,4.04,3.12,4.82,3.22,96.17,95.96,96.88,95.18,96.78,0,0,0,0,0,1.48,0.5,0.77,2.53,1.2
2015,3788,Soacha,113269,88.97,88.85,53.93,88,81.01,49.36,95.27,69.07,100.15,104.17,78.61,25.02,95.08,3.1,3.43,2.19,4.27,2.63,96.9,96.57,97.81,95.73,97.37,0,0,0,0,0,1.74,0.97,1.09,2.79,1.21
2012,3788,Soacha,110286,868052155305297,86.67,49.16,88.69,77.93,46.47,99.64,49.16,88.69,77.93,46.47,19.85,84.62,2.35,2.45,2.15,2.69,2,97.65,97.55,97.85,97.31,98,0,0,0,0,0,1.65,0.2,1.24,2.43,1.39
2013,3788,Soacha,111355,85.58,85.46,51.05,82.98,80.08,46.08,94.73,76.08,95.26,107.53,77.29,24.82,1.67,4.75,5.2,4.11,5.87,3.33,95.25,94.8,95.89,94.13,96.67,0,0,0,0,0,1.71,0.29,0.9,2.69,2.32
2012,3772,Sogamoso,24905,104264203975105,104.1,75.46,97.98,93.1,63.71,123.4,75.46,97.98,93.1,63.71,25.79,18.97,2.22,2.09,1.32,3.01,2.83,91.71,97.07,95.72,87.29,88.75,6.07,0.84,2.96,9.69,8.42,2.66,0.77,2.94,3.07,1.69
2011,3772,Sogamoso,25334,103.29,103.19,69.64,95.64,92.74,67.08,124.45,97.78,116.87,140.41,122.74,24.08,63.79,2.17,0.96,1.19,2.84,3.78,97.73,99.04,98.78,97.06,95.88,0.1,0,0.03,0.1,0.34,2.16,1.48,2.03,2.74,1.37
2014,3772,Sogamoso,23982,106.79,106.61,71.94,100.9,94.95,65.92,122.97,108.46,116.74,134.9,120.07,27.36,70.69,1.7,1.99,1.11,2.31,1.69,95.69,97.23,97.29,93.67,95.63,2.61,0.78,1.61,4.02,2.68,2.95,1.35,2.33,4.31,1.91
2015,3772,Sogamoso,23501,109.37,109.2,77.69,103.64,96.6,65.01,125.08,114.91,121.15,136.04,116.41,28.44,84.48,1.98,1.85,1.22,2.88,1.81,96.61,98.15,97.77,95.4,95.74,1.41,0,1.02,1.73,2.45,3.9,0.74,2.68,6.45,2.03
2013,3772,Sogamoso,24461,105.11,105,67.66,99.21,94.56,62.44,122.86,101.44,118.14,133.6,122.14,39.21,93.1,2.29,2.08,1.77,2.89,2.34,95.79,97.07,97.43,93.83,95.58,1.92,0.85,0.8,3.28,2.08,2.43,1.31,2.41,3.06,1.28
2017,3772,Sogamoso,22331,114.45,114.25,76.36,111.51,101.74,67.94,129.9,110.14,127.69,140.38,122.48,30.296,100,1.43,2.41,1.18,1.69,0.99,95.89,97.59,96.89,94.36,96.29,2.68,,1.93,3.95,2.72,2.63,0.66,2.02,4.3,0.88
2016,3772,Sogamoso,22901,112.9,112.74,78.14,108.6,100.48,67.34,129.92,114.65,125.62,141.16,123.8,26.021,100,2.3,2.91,1.51,3.23,1.82,95.05,96.09,96.01,93.44,96.09,2.65,1,2.47,3.34,2.08,3.02,1.07,2.03,5,1.53
2011,3765,Soledad,130302,77.12,76.75,53.39,77.82,59.96,34.64,82.23,88.63,95.25,77.26,55.44,16.57,73.33,2.13,4.92,1.83,1.95,2.06,97.31,94.85,97.79,97.27,96.99,0.57,0.23,0.38,0.78,0.95,1.91,1.24,1.69,2.56,1.07
2017,3765,Soledad,140244,70.23,69.93,46.32,70.36,57.22,37.98,75,68.74,82.96,73.06,62.29,34.479,95.56,1.22,1.9,1.24,1.23,0.74,94.29,97.32,95.35,91.95,95.41,4.48,0.77,3.41,6.81,3.84,0.37,0.47,0.35,0.44,0.2
2016,3765,Soledad,138694,68.61,68.34,43.64,68.6,56.68,36.64,72.71,68.49,80.66,71.81,56.94,26.185,97.78,1.59,1.85,1.5,1.8,1.13,93.63,97.13,95.03,90.65,94.85,4.78,1.02,3.47,7.54,4.02,0.54,0.54,0.43,0.76,0.3
2013,3765,Soledad,133865,69.78,69.49,46.77,69.52,57.89,31.57,74.74,75.5,86.47,71.89,50.48,27.69,0,4.42,3.37,5.39,4.37,1.22,93.45,95.53,92.71,92.92,96.73,2.13,1.1,1.9,2.71,2.04,2.17,1.35,2.43,2.55,0.79
2015,3765,Soledad,137147,67.67,67.43,41.24,67.16,56.67,33.77,72.39,61.79,82.8,71.65,53.21,22.1,95.45,1.2,1.6,1.1,1.33,0.94,92.7,96.3,94.06,89.68,94.62,6.1,2.11,4.84,8.99,4.45,1.4,0.8,1.22,1.91,0.86
2012,3765,Soledad,132373,727905237472899,72.56,50.58,72.18,58.42,32.16,77.81,50.58,72.18,58.42,32.16,20.03,22.22,2.49,3.64,2.45,2.33,2.46,96.35,96.03,96.7,95.92,96.39,1.16,0.33,0.85,1.75,1.15,2.14,1.16,2.01,2.89,0.88
2014,3765,Soledad,135543,69.27,69.04,36.87,68.63,59.23,32.96,73.76,56.65,85.86,73.78,51.89,21.85,62.79,4.99,2.65,5.25,5.04,4.6,93.5,97.3,92.95,93.34,94.84,1.52,0.05,1.8,1.62,0.56,1.93,1.28,1.7,2.62,0.97
2017,3813,Sucre (ETC),137768,96.73,96.69,66.51,93.86,74.01,41.82,111.91,140.85,121.86,107.47,80.37,22.018,38.28,2.81,3.39,2.23,3.6,2.39,87.96,95.7,88.78,83.6,89.34,9.22,0.9,8.99,12.8,8.26,1.13,0.51,1.05,1.61,0.73
2014,3813,Sucre (ETC),140343,96.71,96.69,66.73,95.99,72.62,36.83,114,142.74,128.57,105.92,79.42,22.59,54.77,6.26,2.29,6.22,8.07,5.24,85.47,96.97,85.61,80.59,87.16,8.27,0.74,8.17,11.34,7.6,0.56,0.54,0.57,0.57,0.47
2015,3813,Sucre (ETC),139421,95.09,95.05,65.32,94.6,70.14,38.76,112.53,136.97,124.56,107.34,80.23,21.37,45.12,2.51,2.89,1.94,3.31,2.27,87.59,95.91,88.11,83.18,89.63,9.91,1.19,9.95,13.51,8.1,0.38,0.43,0.48,0.29,0.13
2016,3813,Sucre (ETC),138447,96.13,96.08,61.78,95.05,71.36,41.72,111.54,138.1,123.51,105.07,80.57,21.675,50.87,3.11,3.22,2.44,4.26,2.49,87.55,95.02,88.83,82.27,89.88,9.34,1.75,8.72,13.48,7.64,0.42,0.26,0.47,0.44,0.27
2012,3813,Sucre (ETC),142640,943515143017386,94.33,65.72,93.71,70.07,33.58,113.34,65.72,93.71,70.07,33.58,21.95,29.06,4.79,5,4.66,5.07,4.36,86.21,94.04,86.08,82.97,88.21,9,0.97,9.27,11.97,7.43,0.91,0.59,0.92,1.12,0.57
2011,3813,Sucre (ETC),144538,104.58,104.55,66.86,103.04,74,36.77,127.47,144.74,146.97,120.49,85.65,25.32,56.98,8.3,11.38,6.66,9.03,10.53,84.24,88.08,85.97,80.95,82.84,7.67,1.14,7.54,10.13,6.9,0.6,0.95,0.7,0.49,0.2
2013,3813,Sucre (ETC),141517,96.84,96.82,65.78,95.99,72.33,35.86,120.42,147.78,143.51,106.06,78.61,31.95,22.83,3.76,4.53,3.29,4.35,3.34,87.57,94.48,87.87,83.98,89.28,8.67,0.99,8.84,11.67,7.37,0.62,0.9,0.68,0.54,0.28
2011,3815,Tolima (ETC),208290,88.44,88.42,59.26,87.68,68.87,36.83,105.55,82.72,119.02,108.01,78.06,21.07,19.43,5.47,4.27,5.2,6.38,4.73,90.14,95.58,91.23,87.15,90.64,4.39,0.15,3.57,6.47,4.63,0.56,0.19,0.52,0.76,0.4
2013,3815,Tolima (ETC),201230,87.87,87.85,55.11,85.89,71.85,37.16,102.54,89.86,107.96,111.81,76.57,37.04,16.95,4.55,5.24,3.96,5.58,3.45,88.62,94.59,89.83,84.59,91.12,6.83,0.18,6.21,9.83,5.43,0.51,0.16,0.52,0.63,0.39
2017,3815,Tolima (ETC),190224,83.73,83.71,48.47,81,70.53,41.97,93.9,73.83,101.32,97.56,77.52,26.575,25.44,3.1,3.5,2.51,4.03,2.51,90.5,96.17,92.47,85.96,92.55,6.4,0.33,5.02,10.02,4.94,0.85,0.24,0.88,1.09,0.38
2015,3815,Tolima (ETC),195554,85.16,85.13,49.75,84.09,69.38,39.51,95.21,81.36,106.63,95.07,73.26,25.38,25.7,3.83,4.69,3.2,4.82,2.97,89.54,94.93,90.79,85.67,92.16,6.63,0.39,6,9.51,4.87,1.02,0.32,0.96,1.43,0.53
2014,3815,Tolima (ETC),198185,86.61,86.58,50.21,85.59,71.25,37.65,96.2,83.88,108.48,96.35,70.74,26.53,33.02,4.97,2.85,5.04,5.49,4.55,90.52,96.9,91.16,87.72,91.85,4.51,0.25,3.81,6.79,3.6,0.77,0.41,0.83,0.91,0.33
2016,3815,Tolima (ETC),192667,84.15,84.12,46,82.73,69.73,41.84,94.36,76.46,103.58,95.72,76.92,25.099,38.18,4.09,4.18,3.19,5.57,3.37,89.41,95.19,91.3,84.91,91.28,6.51,0.63,5.52,9.51,5.35,0.67,0.23,0.72,0.82,0.29
2012,3815,Tolima (ETC),204610,874580910023948,87.44,62.42,86.33,70.16,35.88,97.04,62.42,86.33,70.16,35.88,24.52,44.74,5.64,5.49,4.8,7.18,4.86,87.11,94.22,88.64,82.32,89.53,7.25,0.29,6.57,10.5,5.61,1.04,0.13,0.94,1.48,0.79
2016,3823,Tuluá,38807,91.31,91.14,55.92,87.07,83.27,51.63,103.62,74.71,103.05,116.67,93.68,26.573,56.64,5.11,4.4,3.78,7.08,3.98,90.57,95.29,92.34,86.92,93.4,4.32,0.31,3.88,6,2.62,1.55,0.63,1.31,2.17,0.92
2014,3823,Tuluá,38955,94.83,94.75,58.02,92.52,83.78,49.29,109.37,84.28,113,120.46,91.79,26.59,68.38,2.66,3.16,2.35,3.2,1.97,97.23,96.84,97.65,96.8,97.26,0.1,0,0,0,0.77,0.97,0.35,0.62,1.53,0.84
2012,3823,Tuluá,39463,101416516737197,101.37,47.87,102.53,87.95,50.05,119.77,47.87,102.53,87.95,50.05,23.03,39.2,5.51,6.09,5.06,6.27,4.7,94.48,93.91,94.94,93.71,95.3,0.01,0,0.01,0.03,0,0.35,0.04,0.41,0.43,0.07
2013,3823,Tuluá,39258,96.14,96.04,68.09,93.9,82.67,48.11,113.93,93.32,121.74,120.33,93.73,35.89,58.97,4.15,3.54,3.21,5.62,3.59,95.85,96.46,96.79,94.38,96.41,0,0,0,0,0,0.69,0.05,0.42,1.14,0.68
2017,3823,Tuluá,38921,90.29,90.22,58.58,84.53,85.11,53.26,102.75,77.16,98.72,118.92,93.43,31.498,59.09,4.87,5,3.75,6.42,3.72,91.65,94.87,92.91,89.27,93.39,3.48,0.13,3.34,4.31,2.89,0.67,0.38,0.37,1.05,0.58
2015,3823,Tuluá,38792,93.17,93.08,58.45,90.01,82.87,49.29,107.52,82.35,109.34,118.86,93.59,26.55,61.95,5.04,5.96,3.45,7.19,3.73,90.28,93.78,92.64,85.9,93.23,4.68,0.26,3.91,6.91,3.05,1.26,0.53,0.78,2.17,0.6
2011,3823,Tuluá,40074,98.89,98.84,58.04,100.6,85.08,47.17,114.44,102.77,123.84,120.06,88.36,20.05,45.6,2.97,3.37,2.27,3.85,2.67,93.1,96.24,94.42,91.04,92.72,3.93,0.39,3.31,5.11,4.6,0.47,0.04,0.28,0.84,0.3
2015,3770,Tunja,40479,84.92,84.8,66.53,86.09,72.65,45.74,94.94,90.78,97.51,98.7,83.48,24.03,53.33,1.21,0.65,0.6,1.83,1.54,97.12,98.95,98.5,95.6,96.39,1.67,0.39,0.9,2.57,2.07,7.43,2.61,4.05,13.23,3.61
2014,3770,Tunja,40356,84.31,84.21,61.14,84.02,74.08,47.35,94.28,91.73,95.69,99.08,82.49,24.58,69.77,2.48,1.27,1.86,3.23,2.79,96.85,98.73,97.27,96.32,96.25,0.67,0,0.88,0.45,0.97,5.51,2.12,3.03,9.37,3.64
2011,3770,Tunja,39771,86.58,86.48,72.78,81.54,78.44,54.36,95.32,89.32,92.34,102.08,91.43,22.57,12.5,2.74,2.93,2.18,3.28,2.73,95.16,96.59,96.98,93.68,93.63,2.1,0.48,0.84,3.04,3.64,6.13,0.48,2.19,10.78,6.83
2013,3770,Tunja,40160,86.36,86.23,67.1,84.07,75.63,51.07,97.02,96.85,95.66,100.62,92.99,40.72,0,1.96,2.35,1.1,2.88,1.81,98.03,97.65,98.9,97.12,98.14,0.01,0,0,0,0.05,4.72,1.45,2.01,8.57,3.64
2017,3770,Tunja,40420,84.67,84.48,64.64,88.32,73.98,43.89,94.69,87.59,98.55,98.09,82.61,29.179,13.64,2.59,15.51,0.99,2.43,2.1,92.21,84.07,96.95,88.59,92.05,5.2,0.42,2.06,8.97,5.85,5.41,1.18,3.56,8.67,3.51
2016,3770,Tunja,40469,85.12,84.96,62.76,88.37,72.84,46.34,95.47,86.49,99.55,99.1,83.11,23.59,70.45,1.43,1.4,0.87,2.18,1.09,97.02,98.6,98.77,95.81,94.5,1.55,,0.37,2.01,4.41,6.13,2.38,4.07,10.27,2.5
2012,3770,Tunja,40318,854134629693933,85.29,71.93,82.69,76.7,50.66,94.52,71.93,82.69,76.7,50.66,23.57,25,2.33,1.9,1.69,3.24,1.87,97.16,98.1,98.06,95.9,97.56,0.51,0,0.25,0.86,0.57,4.95,0.52,1.83,9.19,4.7
2011,3763,Turbo,41665,91.9,91.86,75.35,96.49,60.02,27.92,113.17,94.78,136.41,103.98,81.36,20.13,20,7.09,5.54,5.43,8.07,16.31,92.88,94.46,94.57,91.9,83.46,0.04,0,0,0.03,0.33,0.84,0,1,0.89,0.47
2016,3763,Turbo,43603,88.44,88.44,48.64,92.85,64.9,31.99,100.58,78.68,123.55,97.84,59.02,26.928,54.74,6.16,4.97,4.71,9.13,5.41,89.39,95.03,90.39,85.89,91.22,4.45,,4.9,4.98,3.37,7.35,0.93,8.4,8.46,2.07
2014,3763,Turbo,42715,91.71,91.71,43.49,100.01,65.81,26.22,103.74,80.03,133.77,95.62,57.03,24.28,63.19,2.38,2.54,1.96,3.18,2.08,96.73,97.46,97.08,95.73,97.49,0.9,0,0.96,1.09,0.44,1.88,0.08,2.02,2.22,0.96
2013,3763,Turbo,42364,92.09,92.09,74.39,100.61,63.83,26.65,107.09,130.29,131.51,94.28,60.65,29.57,85.28,3.63,2.86,3.11,4.94,3.35,95.37,97.14,95.89,93.58,96.18,1,0,1,1.49,0.47,1.02,0.02,1.53,0.65,0.36
2017,3763,Turbo,44250,86.61,86.6,52.85,87.73,66.72,32.29,99.41,77.03,117.94,100.15,62.21,28.316,45.83,3.86,2.38,2.89,5.81,3.91,89.69,97.62,91.24,84.67,91.71,6.46,,5.87,9.53,4.38,2.02,0.25,2.3,2.35,0.73
2012,3763,Turbo,42078,932411236275488,93.24,78.99,99.94,60.92,27.41,111.12,78.99,99.94,60.92,27.41,19.89,44.62,4.57,3.67,3.98,5.54,6.14,94.56,96.33,94.75,93.96,93.35,0.87,0,1.26,0.5,0.51,0.87,0,1.27,0.62,0.07
2015,3763,Turbo,43055,88.76,88.76,49.46,94.68,64.83,27.71,99.4,78.37,122.73,97.28,55.59,29.1,2.17,3.78,3.35,3.06,5.36,2.85,93.17,96.65,93.94,90.35,96.04,3.04,0,3,4.28,1.11,1.62,0.07,1.78,2.01,0.36
2011,4460,Uribia,44570,53.38,53.37,19.07,53.64,9.76,3.43,65.4,52.62,121.21,20.67,14.28,15.13,35.48,6.43,6.9,7.02,2.19,4.79,91.86,92.58,91.54,93.93,90.6,1.71,0.52,1.44,3.89,4.62,0.35,0.24,0.29,0.94,0
2016,4460,Uribia,50622,64.23,64.23,40.14,67.68,17.39,4.48,76.96,89.15,123.68,38.39,16.14,29.11,70,8.81,6.82,10.92,2.2,1.15,89.68,92.81,87.73,94.77,96.76,1.52,0.37,1.35,3.04,2.1,3.21,2.09,3.54,3.11,0.38
2017,4460,Uribia,51922,65.38,65.38,40.78,69.4,21.09,4.95,76.82,81.5,118.97,43.53,21.31,32.111,3.24,2.3,3.13,1.79,3.71,2.89,92.31,96.13,92.29,89.65,94.22,5.39,0.73,5.92,6.64,2.89,4.69,2.74,5.77,2.42,0.62
2014,4460,Uribia,48227,58.56,58.56,38.37,60.49,13.72,3.71,70.72,83.1,120.31,29.53,13.31,19.39,73.33,3.56,3.21,3.75,3.36,1.23,96.44,96.79,96.25,96.64,98.77,0,0,0,0,0,7.48,6.91,8.64,3.25,0.49
2012,4460,Uribia,46061,536896723909598,53.69,21.03,55.36,10.74,3.11,64.27,21.03,55.36,10.74,3.11,18.14,93.55,9.51,5.27,8.96,16.53,4.19,89.36,94.27,90.04,81.19,94.03,1.14,0.46,1,2.28,1.77,0.76,0.96,0.61,1.65,0.16
2013,4460,Uribia,47015,55.18,55.18,35.17,56.73,11,3.39,62.48,80.23,106.73,24.45,11.85,64.79,53.33,6.14,4.69,6.48,6.15,2.85,93.41,95.31,93.25,92.1,95.87,0.44,0,0.27,1.76,1.28,1.34,0.75,1.65,0.25,0.43
2015,4460,Uribia,49399,62.08,62.08,38.61,64.32,15.76,4.1,77.42,82.79,129.03,36.15,14.22,30.25,50,1.52,1.37,1.31,2.63,1.68,95.26,97.85,95.08,93.91,96.42,3.22,0.78,3.61,3.46,1.9,6.39,5.99,7.32,3.16,0.89
2016,3817,Valle del Cauca (ETC),158132,88.25,88.21,52.76,84.52,77.1,43.93,101.96,77.8,106.95,111.29,83.54,24.51,48.93,5.08,5.24,4.08,6.6,4.19,89.26,94.3,91.65,84.78,90.83,5.66,0.46,4.27,8.61,4.98,1.22,1.07,1.3,1.46,0.31
2011,3817,Valle del Cauca (ETC),194255,93.37,93.27,72.3,92.11,72.3,38.21,107.44,101.83,119.6,110.17,77.52,22.6,28.26,6.54,7.59,5.76,7.55,6.01,87.71,91.99,89.96,84.38,85.46,5.75,0.41,4.28,8.07,8.53,1.15,0.37,0.89,1.83,0.71
2012,3817,Valle del Cauca (ETC),189584,944267448729851,94.33,70.9,93.89,74.4,40.54,108.67,70.9,93.89,74.4,40.54,25.72,26.32,4.17,4.41,3.56,4.99,4.11,93.38,95.55,94.46,91.8,92.18,2.45,0.04,1.97,3.21,3.71,1.15,0.41,1.14,1.51,0.65
2014,3817,Valle del Cauca (ETC),184005,91.49,91.41,57.85,89.56,77.22,40.06,105.73,85.3,114.07,114.05,80.07,26.32,16.59,2.09,2.42,1.6,2.67,2.14,97.79,97.58,98.39,97.31,96.96,0.11,0,0.01,0.02,0.9,1.61,0.49,1.37,2.37,0.93
2017,3817,Valle del Cauca (ETC),157190,86.65,86.6,54.74,81,78.26,43.72,100.12,81.15,100.01,113.61,83.45,26.679,32.12,3.84,4.68,3.12,4.55,3.78,89.87,94.74,92.03,85.91,91.32,6.29,0.58,4.85,9.55,4.9,1.55,0.68,1.59,1.9,0.86
2013,3817,Valle del Cauca (ETC),186981,92.94,92.85,63.53,91.82,75.97,40.4,108.25,93.79,118.66,113.8,80.53,41.05,53.43,3.01,3.49,2.38,3.89,2.68,91.63,96.27,93.2,88.57,91.22,5.36,0.25,4.42,7.54,6.11,1.62,0.44,1.51,2.29,0.9
